hotel,lead_time,arrival_date_week_number,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,required_car_parking_spaces,total_of_special_requests
City Hotel,162,13,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,NAN,0,Transient-Party,0,0
Resort Hotel,265,13,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,NAN,0,Transient,0,1
City Hotel,162,13,2,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,NAN,0,Transient-Party,0,0
Resort Hotel,25,13,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240,NAN,0,Transient,1,0
City Hotel,73,13,2,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NAN,0,Transient,0,1
City Hotel,88,13,2,5,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,83,NAN,0,Transient,0,2
City Hotel,162,13,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,NAN,0,Transient-Party,0,0
City Hotel,162,13,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,NAN,0,Transient-Party,0,0
City Hotel,162,13,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,NAN,0,Transient-Party,0,0
City Hotel,162,13,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,NAN,0,Transient-Party,0,0
City Hotel,43,13,1,1,2,2.0,0,BB,CZE,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NAN,0,Transient,0,0
City Hotel,103,13,2,5,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,83,NAN,0,Transient,0,0
Resort Hotel,63,13,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NAN,0,Transient,0,1
Resort Hotel,94,13,2,3,3,1.0,0,HB,BEL,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,NAN,0,Transient,0,0
Resort Hotel,22,13,2,1,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NAN,0,Transient,0,2
Resort Hotel,35,13,2,4,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NAN,0,Transient,0,1
Resort Hotel,48,13,2,5,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,D,D,0,No Deposit,250,NAN,0,Transient,0,0
City Hotel,0,13,1,1,1,0.0,0,BB,PRT,Corporate,Direct,1,0,7,A,A,2,No Deposit,NAN,163,0,Transient,0,1
Resort Hotel,69,13,2,5,2,2.0,0,BB,DEU,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NAN,0,Transient,0,0
City Hotel,212,13,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,NAN,50,Transient-Party,0,0
Resort Hotel,177,13,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NAN,0,Transient,0,0
Resort Hotel,174,13,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NAN,0,Transient,0,2
Resort Hotel,40,13,2,2,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,95,NAN,0,Transient,0,0
Resort Hotel,27,13,2,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240,NAN,0,Transient,0,2
Resort Hotel,57,13,2,6,2,0.0,0,HB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NAN,0,Transient,0,1
City Hotel,115,13,0,1,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NAN,0,Transient,0,1
Resort Hotel,264,13,2,5,3,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,NAN,0,Transient,0,0
City Hotel,88,13,2,5,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,83,NAN,0,Transient,0,2
City Hotel,162,13,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296,NAN,0,Transient-Party,0,0
Resort Hotel,265,13,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,NAN,0,Transient,0,1
City Hotel,150,13,2,1,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NAN,0,Transient,0,0
City Hotel,72,13,2,4,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,NAN,0,Transient,0,0
Resort Hotel,30,13,2,5,2,0.0,0,BB,BRA,Direct,Direct,0,0,0,A,A,1,No Deposit,250,NAN,0,Transient,1,0
Resort Hotel,265,13,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,NAN,0,Transient,0,1
City Hotel,91,13,2,5,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,NAN,0,Transient,0,1
City Hotel,76,14,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,NAN,0,Transient,0,0
Resort Hotel,84,14,2,2,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NAN,0,Transient,0,2
City Hotel,72,14,2,5,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,132,NAN,0,Transient-Party,0,0
City Hotel,123,14,2,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NAN,0,Transient,0,0
City Hotel,7,14,2,2,1,0.0,0,BB,DEU,Direct,Direct,0,0,0,A,A,1,No Deposit,14,NAN,0,Transient,0,0
Resort Hotel,38,14,2,2,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NAN,0,Transient,0,0
City Hotel,64,14,2,4,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NAN,0,Transient,0,0
City Hotel,89,14,2,1,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NAN,0,Transient,0,0
City Hotel,6,14,1,0,2,0.0,0,BB,NLD,Direct,Direct,0,0,0,A,A,1,No Deposit,NAN,NAN,0,Transient,0,1
Resort Hotel,117,14,2,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NAN,0,Transient,0,1
City Hotel,64,14,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NAN,0,Transient,0,1
Resort Hotel,76,14,2,1,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,F,F,0,No Deposit,250,NAN,0,Transient,1,0
City Hotel,91,14,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NAN,0,Transient,0,4
Resort Hotel,15,14,2,2,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,NAN,0,Transient,0,0
Resort Hotel,3,14,2,1,2,0.0,0,BB,NPL,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NAN,0,Transient,0,1
Resort Hotel,160,14,2,3,2,0.0,0,BB,NAN,Direct,Direct,0,1,4,E,E,0,No Deposit,NAN,NAN,0,Transient,0,3
City Hotel,91,14,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,NAN,0,Transient,0,4
City Hotel,91,14,2,2,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NAN,0,Transient,0,4
City Hotel,91,14,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NAN,0,Transient,0,4
City Hotel,111,14,2,2,2,0.0,0,SC,FIN,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,NAN,0,Transient,0,0
City Hotel,61,14,2,2,2,0.0,0,BB,BEL,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NAN,0,Transient,0,3
City Hotel,91,14,2,2,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,E,E,2,No Deposit,9,NAN,0,Transient,0,4
City Hotel,63,14,2,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NAN,0,Transient,0,0
Resort Hotel,82,14,2,1,2,0.0,0,HB,DEU,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NAN,0,Transient,0,0
City Hotel,54,14,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28,NAN,0,Contract,0,0
City Hotel,59,14,2,0,2,0.0,0,BB,LUX,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NAN,0,Transient,0,2
City Hotel,73,14,2,3,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9,NAN,0,Transient,0,1
City Hotel,70,14,2,1,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NAN,0,Transient,0,0
City Hotel,37,14,2,1,1,0.0,0,BB,ISR,Groups,TA/TO,0,0,0,D,D,2,No Deposit,37,NAN,0,Transient-Party,0,1
City Hotel,116,14,1,0,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NAN,0,Transient,0,1
City Hotel,18,14,2,4,1,0.0,0,BB,AGO,Direct,TA/TO,1,0,1,A,A,0,No Deposit,14,NAN,0,Transient,0,1
Resort Hotel,49,14,2,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,240,NAN,0,Transient,0,1
City Hotel,164,14,1,0,2,0.0,0,SC,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NAN,0,Transient,0,2
City Hotel,44,14,2,0,2,0.0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NAN,0,Transient,0,0
City Hotel,128,14,2,0,2,0.0,0,SC,LUX,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NAN,0,Transient,0,1
Resort Hotel,20,14,1,0,2,0.0,0,BB,POL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8,NAN,0,Transient,0,0
City Hotel,59,14,2,4,2,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,D,D,3,No Deposit,9,NAN,0,Transient,0,3
Resort Hotel,137,14,2,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,75,NAN,0,Transient,0,0
Resort Hotel,54,14,2,2,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,NAN,0,Contract,0,0
City Hotel,48,14,2,5,1,0.0,0,BB,AUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NAN,0,Transient,0,0
Resort Hotel,38,14,2,2,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NAN,0,Transient,0,0
City Hotel,91,14,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NAN,0,Transient,0,4
Resort Hotel,38,14,2,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NAN,0,Transient,0,1
City Hotel,27,14,2,1,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NAN,0,Transient,0,0
City Hotel,135,14,2,5,1,0.0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21,NAN,63,Transient-Party,0,1
City Hotel,77,14,2,1,3,0.0,0,HB,DEU,Online TA,TA/TO,0,0,0,E,F,2,No Deposit,9,NAN,0,Transient,0,2
City Hotel,9,14,1,0,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NAN,0,Transient,0,0
City Hotel,92,14,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NAN,0,Transient,0,2
City Hotel,2,14,1,0,2,0.0,0,SC,CRI,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,85,NAN,0,Transient,0,0
City Hotel,44,14,2,1,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NAN,0,Transient,0,0
